address,comments_num,five,four,name,one,price,three,two
东三环中路7号财富购物中心1层,5262,2277,1595,绿茶(财富购物中心店),400,65,760,230
西单北大街110号老佛爷百货5楼,5287,2693,1830,云海肴云南菜(老佛爷百货店),85,95,552,127
西三环北路21号久凌大厦北楼二层（北外东门往南100米,5194,4633,401,第六季自助餐厅(西三环店),46,249,88,26
德胜门内大街东明胡同甲2号(宋庆龄故居对面),5309,1513,1170,孔乙己(后海店),144,125,439,106
西单北大街110号 老佛爷百货4层(近灵境胡同),5308,2181,1684,西贡在巴黎(老佛爷店),221,98,939,283
王庄路33号东王庄小区33号楼1楼(近清华东路),5314,1770,1925,火炉火(五道口店),230,80,723,168
定慧北里23号蓝宏中心1-2层,5305,3321,1375,三样菜(阜成路店),148,118,368,93
彩和坊路208号(天创科技大厦2层),5322,2852,1607,管氏翅吧(中关村店),147,74,559,104
朝阳北路101号朝阳大悦城5层5F-50(新区悦界中庭),5327,3463,1377,TIAGO HOME KITCHEN(朝阳大悦城店),54,193,363,70
香山买卖街东口(近香山5号停车场商业配套楼),5334,3307,1450,小吊梨汤(香山店),81,83,412,83
樱花东路元大都酒吧街西一四号,5337,2186,1828,兄弟川菜(簋街老店),119,73,707,136
曙光西里甲5号院凤凰汇购物中心凤凰商街(凤凰汇购物中心后),5346,4199,815,潮粥荟·潮汕砂锅粥(凤凰汇购物中心店),75,89,211,46
北大街32号枫蓝国际购物中心A座2楼,5358,3405,1348,火炉火分米套餐&芝士排骨(枫蓝国际店),83,83,450,72
阜通西大街望京西园四区412号楼,5361,3399,1421,鲜有基参鸡汤(张师傅望京新城店),45,81,423,64
地安门西大街119号(平安大街前海医院正对面地铁6号线北海北A出口),5363,3261,1114,院落创意菜(地安门店),170,100,499,124
虎坊路甲4号(虎坊桥地铁站c口 湖广会馆、工人俱乐部),5404,4088,926,蝎王府(虎坊桥店),90,89,256,44
蒲黄榆路28号B-C综合楼2楼(近地铁5号线蒲黄榆站C口),5408,2695,1865,香草香草云南原生态火锅(蒲黄榆店),98,107,641,109
东大街20号(近解放军第307医院),5408,4057,779,京味斋烤鸭店(东大街店),161,85,329,82
喜隆多新国际购物中心一层143号,5411,4330,678,木屋烧烤(苹果园店),94,78,250,59
西直门北大街32号枫蓝国际购物中心2层,5415,2870,1684,弄堂里(枫蓝国际购物中心店),150,67,575,136
北太平庄北三环中路40号(近国美),5442,4075,632,福口居(北太平庄店),28,76,220,44
三丰北里2号悠唐购物中心5层,5446,3021,1682,井格老灶火锅(悠唐购物中心店),113,119,512,118
西羊管胡同甲1号御嘉置地1层(近东直门北中街),5449,2995,1774,老井俄式餐厅,60,98,530,90
八角南路金谷证券对面,5454,4301,459,小肥羊(八角南路店),82,85,227,76
南湖南路15号院5号楼1-3层(南湖综合市场向南70米),5459,4132,829,京味斋烤鸭店(望京店),95,83,295,72
复兴门内大街101号百盛购物中心北楼10层,5459,3614,1408,那家小馆(百盛店),60,117,318,59
石景山万达广场步行街三层318号,5476,3309,1532,羲和小馆(石景山万达店),86,108,444,105
王府井大街138号北京apm6层,5485,2615,1845,火炉火(北京apm店),209,96,657,159
"苏州街15号(长远天地大厦斜对面,近八一中学)",5498,2320,1170,白家大院,48,416,290,45
酒仙桥路18号颐堤港1楼50号(将台地铁站),5503,3243,1580,羲和雅苑烤鸭坊(颐堤港店),94,174,482,104
