address,comments_num,five,four,name,one,price,three,two
芳甸路1188弄1-4号证大喜玛拉雅中心南区6层103-104,7769,3905,2586,唐宫海鲜舫(花木店),257,147,804,217
东方路796号96广场3楼302商铺(近张杨路),7780,3421,2611,望湘园(96广场店),148,89,892,148
遵义路100号虹桥南丰城南区4层L416A,7783,6265,1194,花隐日式怀石料理(上海南丰城店),52,376,230,42
嘉善路508号（尚街）(近肇嘉浜路),7787,4051,2528,辣府(嘉善路店),194,155,841,172
五角场淞沪路151-161号中环国际大厦1楼,7802,3963,2716,和府捞面(五角场店),87,44,880,156
邯郸路600号万达商业广场特力时尚汇2层(五角场特力屋),7801,3342,2784,大咀港式茶餐厅(特力时尚汇店),237,82,1198,240
政通路189号万达广场特力时尚屋4楼402号铺,7809,3770,2263,掌柜的店纯朴中原菜(政通路店),234,78,1248,294
思南路36号(近南昌路),7839,1282,3075,阿娘面馆,280,33,2380,505
福州路343号二楼(近山东中路),7841,2328,2774,杏花楼(福州路总店),239,92,1202,202
上南路168号世博源4区B层23-24号,7842,3849,2855,风物寿司(世博源店),94,114,893,151
淮海中路755号淮海755商厦5楼(瑞金二路),7844,4336,2353,四川香天下火锅(淮海中路店),197,130,797,161
台儿庄路253号(近长岛路金桥翡翠坊),7865,4324,2225,有滋有味(浦东店),228,65,890,198
打浦路1号金玉兰广场3楼(徐家汇路口),7884,3401,2213,和记小菜(金玉兰店),292,111,1107,232
嵩山路77号上海皇宫1楼(近淮海中路),7897,1507,2245,枣子树(淮海中路店),32,105,862,78
沪闵路6088号凯德龙之梦广场03层29/30号,7911,3542,2654,很高兴遇见你(莘庄龙之梦店),210,106,1206,299
兴业路123弄6号楼新天地南里3楼,7964,2699,3407,小山日本料理(新天地店),261,248,924,196
福佑路242号,7966,4137,1720,上海老饭店,305,160,885,249
富民路38号(近延安中路),7981,2489,3392,椰香天堂(富民路店),132,192,1069,128
水电路572号,8013,6194,1415,百岁我家酸菜鱼(虹口店),68,88,286,50
山阴路123号(近吉祥路),8014,1479,2639,万寿斋,156,17,1352,270
南丹东路108号天和苑3楼(近天钥桥路口),8048,4091,2745,老工厂重庆火锅,131,102,911,171
福州路579号(大众书局1楼),8061,5268,1211,争鲜回转寿司(福州路店),104,56,730,101
真北路858号近铁城市广场南区4层,8066,5738,1493,查厘士(近铁广场店),122,90,585,128
打浦路399号(近瞿溪路),8068,3628,2991,粤来记(打浦路店),166,95,1067,216
金陵东路500号亚龙国际广场3层(近8号线大世界站2号口),8090,3653,2676,80后I Can海陆自助餐厅(亚龙国际广场店),283,114,1220,258
黄河路90号(近凤阳路),8111,1572,2563,佳家汤包(黄河路店),165,33,1278,196
西江湾路388号龙之梦购物中心A座B2层,8117,4029,2572,精悦蓉(龙之梦购物中心虹口店),270,79,1033,213
天钥桥路333号腾飞大厦内腾飞广场5层(近南丹东路),8117,1871,2376,香港粗菜馆.明星粤菜(徐汇店),112,114,1046,156
徐家汇路618号(日月光广场4楼4F-TK03),8164,3490,2716,Sawadeeka萨瓦蒂卡泰国料理(日月光中心广场店),303,124,1293,362
西藏中路268号上海来福士广场B1楼(面包新语旁),8172,2480,3665,卡乐星(上海来福士广场店),183,42,1642,202
邯郸路585号苏宁电器五层,8165,5263,2344,海底捞火锅(五角场店),96,131,424,38
政通路189号万达广场特力时尚汇5F(近淞沪路),8178,2928,3373,望湘园(五角场店),153,88,1319,186
陆家嘴西路168号正大广场1层,8201,5108,1902,哈根达斯(正大广场店),125,70,782,137
国权东路198号(国权东路与黄兴路交叉口  10号线国权路下车  步行约10分钟),8212,6346,1389,百岁我家酸菜鱼(杨浦大润发店),101,89,302,74
西江湾路388号龙之梦购物中心A座6层,8227,3809,2659,新辣道鱼火锅(虹口龙之梦店),247,109,1215,297
长寿路140号(江宁路),8236,5751,1377,沪小胖龙虾(长寿店),277,191,647,184
南京东路819号百联世茂国际广场5楼(南京东路步行街、人民广场),8244,5944,1415,今牛座鲜牛火锅(人民广场店),246,117,506,133
陆家嘴西路168号正大广场8层,8248,4508,2339,小猪猪(正大广场店),157,88,1044,200
真光路1288号百联中环购物广场A区4层,8253,6202,1575,耶里夏丽(百联真光路店),78,89,349,49
